title,playcount,date,devices,traffic,content
Tokyo 2020: Paralympics Live,68,2021-08-26,Undefined,-,IH000403361
Tokyo 2020: Paralympics Live,68,2021-09-05,Smart TV,Direct traffic,IH000403371
Tokyo 2020: Today At The Paralympics,68,2021-08-26,Tablet,Direct traffic,IH000403375
Tokyo 2020: Today At The Paralympics,68,2021-08-26,Desktop,Direct traffic,IH000403375
Tokyo 2020: Swimming Finals,68,2021-08-31,Desktop,Direct traffic,PI000017158
Tokyo 2020: Today At The Paralympics,67,2021-08-27,Desktop,Direct traffic,IH000403376
Tokyo 2020: Today At The Paralympics,67,2021-08-29,Desktop,Direct traffic,IH000403378
Tokyo 2020: Swimming,67,2021-08-29,Desktop,Search engines,PI000017091
Tokyo 2020: Athletics,67,2021-08-28,Desktop,Direct traffic,PI000017155
Tokyo 2020: Athletics,67,2021-08-28,Desktop,Direct traffic,PI000017085
Tokyo 2020: Athletics,67,2021-08-28,Desktop,Search engines,PI000017155
Tokyo 2020: Paralympics Live,66,2021-09-02,Smart TV,Direct traffic,IH000403368
Tokyo 2020: Today At The Paralympics,66,2021-08-31,Tablet,Direct traffic,IH000403380
Tokyo 2020: Swimming,66,2021-08-27,Desktop,Direct traffic,PI000017078
Tokyo 2020: Table Tennis,66,2021-08-26,Desktop,Direct traffic,PI000017078
Tokyo 2020: Athletics,66,2021-08-30,Desktop,Search engines,PI000017095
Tokyo 2020: Wheelchair Basketball,66,2021-08-30,Desktop,Direct traffic,PI000017102
Tokyo 2020: Cycling - Road,66,2021-08-30,Tablet,Direct traffic,PI000017098
Tokyo 2020: Today At The Paralympics,65,2021-08-28,Tablet,Direct traffic,IH000403377
Tokyo 2020: Today At The Paralympics,65,2021-09-03,Tablet,Direct traffic,IH000403383
Tokyo 2020: Swimming,65,2021-09-01,Smartphone,Direct traffic,PI000017114
Tokyo 2020: Cycling,65,2021-08-27,Desktop,Search engines,PI000017076
Tokyo 2020: Equestrian,65,2021-08-27,Desktop,Direct traffic,PI000017080
Tokyo 2020: Athletics,65,2021-08-30,Desktop,Search engines,PI000017157
Tokyo 2020: Athletics,65,2021-09-01,Desktop,Direct traffic,PI000017110
Tokyo 2020: Athletics,65,2021-09-03,Desktop,Search engines,PI000017122
Tokyo 2020: Today At The Paralympics,64,2021-08-24,Desktop,Search engines,IH000403373
Tokyo 2020: Paralympics Live,63,2021-08-27,Smartphone,Search engines,IH000403362
Tokyo 2020: Today At The Paralympics,63,2021-08-28,Desktop,Direct traffic,IH000403377
Tokyo 2020: Athletics,63,2021-09-03,Desktop,Direct traffic,PI000017120
Tokyo 2020: Sitting Volleyball,63,2021-09-04,Smartphone,Direct traffic,PI000017127
Tokyo 2020,62,2021-08-31,Desktop,Direct traffic,PI000017107
Tokyo 2020: Today At The Paralympics,62,2021-08-27,Desktop,Search engines,IH000403376
Tokyo 2020: Athletics,62,2021-08-30,Desktop,Search engines,PI000017098
