title,playcount,cuml hours spent,date,devices,traffic,content
Tokyo 2020: Paralympics Live,6,0.0630555556,2021-08-25,Smartphone,Search engines,IH000403360
Tokyo 2020: Today At The Paralympics,6,1.673888889,2021-08-30,Tablet,Direct traffic,IH000403379
Tokyo 2020: Today At The Paralympics,6,0.0311111111,2021-08-25,Tablet,Direct traffic,IH000403374
Tokyo 2020: Swimming,6,0.0280555556,2021-08-26,Desktop,Direct traffic,PI000017078
Tokyo 2020: Wheelchair Tennis,6,0.2416666667,2021-09-04,Desktop,Search engines,PI000017130
Tokyo 2020,6,0.0513888889,2021-09-01,Smartphone,Direct traffic,PI000017113
Tokyo 2020: Today At The Paralympics,6,0.0497222222,2021-08-25,Desktop,Direct traffic,IH000403374
Tokyo 2020: Today At The Paralympics,5,0.2883333333,2021-08-27,Tablet,Direct traffic,IH000403376
Tokyo 2020: Today At The Paralympics,5,3.696666667,2021-08-28,Desktop,Search engines,IH000403377
Tokyo 2020: Paralympics Live,5,7.185555556,2021-08-26,Undefined,-,IH000403361
Tokyo 2020: Paralympics Live,5,0.0211111111,2021-09-05,Smart TV,Direct traffic,IH000403371
Tokyo 2020: Today At The Paralympics,5,0.7680555556,2021-08-26,Tablet,Direct traffic,IH000403375
Tokyo 2020: Today At The Paralympics,4,0.8472222222,2021-08-26,Desktop,Direct traffic,IH000403375
Tokyo 2020: Swimming Finals,4,0.0052777778,2021-08-31,Desktop,Direct traffic,PI000017158
Tokyo 2020: Today At The Paralympics,4,0.0547222222,2021-08-27,Desktop,Direct traffic,IH000403376
Tokyo 2020: Today At The Paralympics,4,0.3611111111,2021-08-29,Desktop,Direct traffic,IH000403378
Tokyo 2020: Swimming,4,1.271388889,2021-08-29,Desktop,Search engines,PI000017091
Tokyo 2020: Athletics,4,0.0286111111,2021-08-28,Desktop,Direct traffic,PI000017155
Tokyo 2020: Athletics,4,0.0044444444,2021-08-28,Desktop,Direct traffic,PI000017085
Tokyo 2020: Athletics,3,0.0583333333,2021-08-28,Desktop,Search engines,PI000017155
Tokyo 2020: Paralympics Live,3,0.0233333333,2021-09-02,Smart TV,Direct traffic,IH000403368
Tokyo 2020: Today At The Paralympics,3,0.0086111111,2021-08-31,Tablet,Direct traffic,IH000403380
Tokyo 2020: Swimming,3,0.0088888889,2021-08-27,Desktop,Direct traffic,PI000017078
Tokyo 2020: Table Tennis,3,0.015,2021-08-26,Desktop,Direct traffic,PI000017078
Tokyo 2020: Athletics,3,0.0272222222,2021-08-30,Desktop,Search engines,PI000017095
